RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-02-28,2023-04-30,2024-01-31
394764,471,"Lake City, FL",msa,FL,2023-01-31,-0.2,-0.2,2.2
753928,472,"Wisconsin Rapids, WI",msa,WI,2023-01-31,1.0,1.5,0.5
394699,473,"Huntsville, TX",msa,TX,2023-01-31,0.2,0.5,1.9
394736,474,"Kapaa, HI",msa,HI,2023-01-31,-0.1,-0.1,0.6
394683,475,"Hobbs, NM",msa,NM,2023-01-31,1.0,0.1,-5.9
394884,476,"Mount Airy, NC",msa,NC,2023-01-31,-0.7,-1.0,-0.3
394655,478,"Greenwood, SC",msa,SC,2023-01-31,0.8,2.3,3.9
395132,479,"Stevens Point, WI",msa,WI,2023-01-31,0.8,1.1,-0.7
394626,480,"Gallup, NM",msa,NM,2023-01-31,0.8,0.9,-1.2
394647,481,"Greeneville, TN",msa,TN,2023-01-31,,0.5,2.9
394877,482,"Morehead City, NC",msa,NC,2023-01-31,0.0,0.2,2.0
394885,483,"Mount Pleasant, MI",msa,MI,2023-01-31,1.2,2.7,2.3
394752,484,"Klamath Falls, OR",msa,OR,2023-01-31,0.1,0.3,2.4
395027,485,"Roanoke Rapids, NC",msa,NC,2023-01-31,1.2,3.6,6.1
395092,486,"Shelton, WA",msa,WA,2023-01-31,-0.3,-0.1,3.0
394922,487,"North Wilkesboro, NC",msa,NC,2023-01-31,0.4,0.9,3.3
394305,488,"Alamogordo, NM",msa,NM,2023-01-31,0.2,0.0,1.4
394897,489,"Muskogee, OK",msa,OK,2023-01-31,0.2,0.3,1.2
394586,490,"Faribault, MN",msa,MN,2023-01-31,0.2,0.2,-1.4
394600,491,"Forest City, NC",msa,NC,2023-01-31,-0.1,0.3,3.7
394587,492,"Farmington, MO",msa,MO,2023-01-31,0.5,1.2,0.7
394829,493,"Marquette, MI",msa,MI,2023-01-31,0.9,2.1,2.6
395021,494,"Richmond, IN",msa,IN,2023-01-31,0.5,0.9,0.2
395105,495,"Somerset, KY",msa,KY,2023-01-31,1.6,4.4,9.6
394343,496,"Athens, OH",msa,OH,2023-01-31,0.0,-0.1,-1.4
394826,497,"Marion, IN",msa,IN,2023-01-31,0.6,1.2,1.5
394827,498,"Marion, OH",msa,OH,2023-01-31,0.7,2.0,3.5
394899,499,"Nacogdoches, TX",msa,TX,2023-01-31,1.7,3.0,2.7
394496,500,"Coos Bay, OR",msa,OR,2023-01-31,-0.3,-0.5,0.8
395040,500,"Roswell, NM",msa,NM,2023-01-31,1.8,3.9,3.5
395016,502,"Red Bluff, CA",msa,CA,2023-01-31,-0.6,-1.0,-1.2
394472,503,"Clearlake, CA",msa,CA,2023-01-31,-0.4,-0.7,-1.3
394360,504,"Baraboo, WI",msa,WI,2023-01-31,0.9,1.5,1.2
395024,505,"Rio Grande City, TX",msa,TX,2023-01-31,,-0.4,-3.1
394540,506,"Dublin, GA",msa,GA,2023-01-31,1.4,2.8,3.1
394787,507,"Lewiston, ID",msa,ID,2023-01-31,-0.3,-0.6,0.7
394629,509,"Georgetown, SC",msa,SC,2023-01-31,-0.2,-0.4,0.8
394309,510,"Albemarle, NC",msa,NC,2023-01-31,0.1,0.5,3.7
394825,512,"Marinette, WI",msa,WI,2023-01-31,1.3,3.0,4.5
394836,513,"Martinsville, VA",msa,VA,2023-01-31,2.7,5.3,5.5
394889,514,"Mount Vernon, OH",msa,OH,2023-01-31,0.3,0.7,1.6
395063,515,"Sanford, NC",msa,NC,2023-01-31,0.6,2.0,4.6
394701,516,"Hutchinson, KS",msa,KS,2023-01-31,0.3,0.7,0.2
394509,517,"Crossville, TN",msa,TN,2023-01-31,0.6,2.0,5.8
394759,518,"Laconia, NH",msa,NH,2023-01-31,-0.3,-0.5,2.5
395199,519,"Walla Walla, WA",msa,WA,2023-01-31,-0.2,-0.3,0.8
394456,520,"Charleston, IL",msa,IL,2023-01-31,1.4,2.7,1.6
394631,521,"Gillette, WY",msa,WY,2023-01-31,-0.3,-1.3,-4.8
394570,522,"Enid, OK",msa,OK,2023-01-31,0.0,-0.3,-4.2
395136,523,"Sturgis, MI",msa,MI,2023-01-31,0.5,1.2,0.9
395071,524,"Sayre, PA",msa,PA,2023-01-31,-0.2,-0.7,-3.2
753903,525,"Marietta, OH",msa,OH,2023-01-31,0.2,0.3,-1.0
395049,526,"Salina, KS",msa,KS,2023-01-31,-0.1,-0.4,-1.3
394693,527,"Hudson, NY",msa,NY,2023-01-31,-0.2,0.4,2.5
395124,528,"Starkville, MS",msa,MS,2023-01-31,0.3,0.0,-2.3
394432,529,"Calhoun, GA",msa,GA,2023-01-31,0.2,0.6,3.1
394591,530,"Fergus Falls, MN",msa,MN,2023-01-31,0.6,1.5,2.3
394939,531,"Oneonta, NY",msa,NY,2023-01-31,0.1,0.1,-0.9
394336,532,"Ardmore, OK",msa,OK,2023-01-31,-0.5,-0.8,-0.1
394443,533,"Carlsbad, NM",msa,NM,2023-01-31,-1.0,-2.8,-4.6
394551,534,"Eagle Pass, TX",msa,TX,2023-01-31,0.5,0.6,-2.9
394618,535,"Fremont, OH",msa,OH,2023-01-31,0.1,0.0,-0.6
394362,536,"Barre, VT",msa,VT,2023-01-31,1.0,2.0,1.6
394592,537,"Fernley, NV",msa,NV,2023-01-31,-0.8,-1.7,-2.2
394490,538,"Columbus, MS",msa,MS,2023-01-31,1.5,2.7,0.9
753877,539,"Cullowhee, NC",msa,NC,2023-01-31,0.0,0.6,3.5
394923,540,"Norwalk, OH",msa,OH,2023-01-31,0.0,-0.1,-1.5
394956,541,"Palestine, TX",msa,TX,2023-01-31,0.4,0.9,1.3
395044,542,"Rutland, VT",msa,VT,2023-01-31,1.0,1.8,1.7
394605,543,"Fort Madison, IA",msa,IA,2023-01-31,0.4,0.9,-1.4
394621,544,"Gaffney, SC",msa,SC,2023-01-31,2.8,5.8,6.5
394365,545,"Batavia, NY",msa,NY,2023-01-31,-0.2,-0.3,-0.7
394446,546,"Cedar City, UT",msa,UT,2023-01-31,-0.1,0.0,2.1
394737,547,"Kearney, NE",msa,NE,2023-01-31,0.3,0.3,-1.0
394547,548,"Durango, CO",msa,CO,2023-01-31,-0.5,-1.2,-0.7
394402,549,"Boone, NC",msa,NC,2023-01-31,-0.3,-0.1,3.1
394989,550,"Point Pleasant, WV",msa,OH,2023-01-31,0.3,0.9,0.9
394411,551,"Branson, MO",msa,MO,2023-01-31,0.0,0.2,3.2
394444,552,"Carson City, NV",msa,NV,2023-01-31,-0.8,-1.7,-2.6
394582,553,"Fairmont, WV",msa,WV,2023-01-31,0.8,1.6,0.5
394977,554,"Picayune, MS",msa,MS,2023-01-31,1.0,1.4,-1.1
394940,555,"Ontario, OR",msa,OR,2023-01-31,-0.8,-1.2,4.6
394750,556,"Kinston, NC",msa,NC,2023-01-31,0.4,1.2,4.3
394993,557,"Poplar Bluff, MO",msa,MO,2023-01-31,1.0,1.4,-0.5
395122,558,"St. Marys, GA",msa,GA,2023-01-31,0.0,-0.1,0.7
395216,559,"Waycross, GA",msa,GA,2023-01-31,1.2,2.6,4.6
394366,560,"Batesville, AR",msa,AR,2023-01-31,2.1,3.8,2.2
394566,561,"Elko, NV",msa,NV,2023-01-31,-0.2,-1.0,-2.6
395157,562,"Tiffin, OH",msa,OH,2023-01-31,0.2,0.5,-0.2
394556,563,"Edwards, CO",msa,CO,2023-01-31,-0.4,-0.8,3.5
394721,564,"Jasper, IN",msa,IN,2023-01-31,0.2,0.3,-0.4
394517,565,"Danville, KY",msa,KY,2023-01-31,0.9,1.7,3.2
395131,566,"Sterling, IL",msa,IL,2023-01-31,0.9,1.7,-0.6
753920,567,"Sonora, CA",msa,CA,2023-01-31,-1.1,-2.5,-4.3
394951,568,"Oxford, MS",msa,MS,2023-01-31,0.3,0.4,-1.3
394632,569,"Glasgow, KY",msa,KY,2023-01-31,1.1,2.0,2.0
394967,570,"Payson, AZ",msa,AZ,2023-01-31,0.0,0.4,3.1
395204,571,"Warrensburg, MO",msa,MO,2023-01-31,0.6,0.9,1.2
394344,572,"Athens, TN",msa,TN,2023-01-31,1.3,3.0,5.8
394562,573,"Elizabeth City, NC",msa,NC,2023-01-31,0.4,0.9,1.2
394861,574,"Milledgeville, GA",msa,GA,2023-01-31,0.5,1.6,3.6
395020,575,"Rexburg, ID",msa,ID,2023-01-31,-0.8,-0.8,3.1
394339,576,"Ashland, OH",msa,OH,2023-01-31,0.1,0.4,1.1
394571,577,"Enterprise, AL",msa,AL,2023-01-31,0.8,1.0,-0.5
394717,578,"Jacksonville, TX",msa,TX,2023-01-31,0.2,0.8,3.1
394742,579,"Kerrville, TX",msa,TX,2023-01-31,-0.1,-0.3,0.5
394634,580,"Gloversville, NY",msa,NY,2023-01-31,-0.1,0.1,0.7
394604,581,"Fort Leonard Wood, MO",msa,MO,2023-01-31,0.9,1.7,0.9
394363,582,"Bartlesville, OK",msa,OK,2023-01-31,0.5,0.7,0.8
394538,583,"Douglas, GA",msa,GA,2023-01-31,0.9,1.6,2.3
395073,584,"Scottsboro, AL",msa,AL,2023-01-31,,-0.2,0.2
394316,585,"Alice, TX",msa,TX,2023-01-31,2.7,4.7,-0.6
394652,586,"Greenville, OH",msa,OH,2023-01-31,0.1,0.2,0.5
394985,587,"Platteville, WI",msa,WI,2023-01-31,0.6,0.8,0.1
394503,589,"Corsicana, TX",msa,TX,2023-01-31,1.3,3.3,5.8
753905,590,"Newport, OR",msa,OR,2023-01-31,-0.2,-0.2,2.4
395234,591,"Winona, MN",msa,MN,2023-01-31,-0.2,-0.7,-2.1
394933,592,"Oil City, PA",msa,PA,2023-01-31,0.2,0.7,0.9
395029,593,"Rochelle, IL",msa,IL,2023-01-31,0.5,0.7,-1.2
395091,594,"Shelbyville, TN",msa,TN,2023-01-31,0.5,1.2,3.8
394819,595,"Malone, NY",msa,NY,2023-01-31,0.2,0.9,2.1
394963,596,"Paris, TX",msa,TX,2023-01-31,1.4,2.6,3.5
395008,597,"Pullman, WA",msa,WA,2023-01-31,0.1,0.4,2.2
394838,598,"Mason City, IA",msa,IA,2023-01-31,-0.6,-1.2,0.1
394567,599,"Ellensburg, WA",msa,WA,2023-01-31,-0.4,-0.6,1.4
394903,600,"Natchez, MS",msa,LA,2023-01-31,2.2,4.5,2.9
394326,601,"Amsterdam, NY",msa,NY,2023-01-31,-0.1,0.2,1.2
394628,602,"Gardnerville Ranchos, NV",msa,NV,2023-01-31,-0.3,-0.2,0.9
394625,603,"Galesburg, IL",msa,IL,2023-01-31,0.5,1.0,-0.2
394527,604,"Del Rio, TX",msa,TX,2023-01-31,1.7,3.2,3.1
395144,605,"Tahlequah, OK",msa,OK,2023-01-31,0.3,0.9,3.1
394548,606,"Durant, OK",msa,OK,2023-01-31,0.1,0.5,2.2
753911,607,"Ozark, AL",msa,AL,2023-01-31,1.7,3.1,3.0
394431,608,"Cadillac, MI",msa,MI,2023-01-31,2.3,6.2,10.8
394478,609,"Clovis, NM",msa,NM,2023-01-31,0.3,0.0,-3.2
395097,610,"Sidney, OH",msa,OH,2023-01-31,0.0,-0.1,-0.7
394878,611,"Morgan City, LA",msa,LA,2023-01-31,2.8,4.5,-1.0
394876,612,"Montrose, CO",msa,CO,2023-01-31,-0.4,-0.9,0.1
394954,613,"Pahrump, NV",msa,NV,2023-01-31,-0.5,-0.2,3.6
394906,614,"New Castle, IN",msa,IN,2023-01-31,0.6,1.6,3.4
394608,615,"Fort Polk South, LA",msa,LA,2023-01-31,1.3,2.3,-0.9
394919,616,"Norfolk, NE",msa,NE,2023-01-31,0.0,-0.3,-1.5
394437,617,"Ca-¦on City, CO",msa,CO,2023-01-31,0.0,0.2,1.8
394739,618,"Kendallville, IN",msa,IN,2023-01-31,0.2,0.6,1.1
394379,619,"Bemidji, MN",msa,MN,2023-01-31,0.2,0.2,-0.2
394391,620,"Blackfoot, ID",msa,ID,2023-01-31,-0.6,-0.5,3.1
